Company,Rating,Type,Good Review,Bad Review
TCS,3.3,IT Services & Consulting | Bengaluru +448 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
Accenture,3.7,IT Services & Consulting | Bengaluru +261 other locations,,
Wipro,3.6,IT Services & Consulting | Hyderabad +375 other locations,,
Cognizant,3.7,IT Services & Consulting | Hyderabad +233 other locations,,
Capgemini,3.6,IT Services & Consulting | Bengaluru +187 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction"
HDFC Bank,3.8,Banking | Mumbai +1858 other locations,"Job Security, Skill Development","Promotions, Salary"
Infosys,3.5,IT Services & Consulting | Bengaluru +247 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
HCLTech,3.4,IT Services & Consulting | Chennai +231 other locations,,
ICICI Bank,3.9,Banking | Mumbai +1447 other locations,,
Tech Mahindra,3.3,IT Services & Consulting | Hyderabad +323 other locations,,
Genpact,3.6,Analytics & KPO | Hyderabad +181 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
TP,3.9,BPO | Mumbai +258 other locations,,
Jio,4.4,Telecom | Mumbai +1965 other locations,,
Axis Bank,3.6,Banking | Mumbai +1530 other locations,,
Concentrix Corporation,3.6,BPO | Bengaluru +185 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
Amazon,3.9,Internet | Bengaluru +521 other locations,"Company Culture, Work Life Balance, Salary",Promotions
Reliance Retail,3.9,Retail | Mumbai +1166 other locations,"Job Security, Skill Development, Work Life Balance",Promotions
iEnergizer,4.6,BPO | Noida +54 other locations,,
LTIMindtree,3.6,IT Services & Consulting | Bengaluru +145 other locations,,
HDB Financial Services,3.9,NBFC | Mumbai +1098 other locations,Job Security,"Promotions, Salary"
IBM,3.9,IT Services & Consulting | Bengaluru +162 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
Larsen & Toubro Limited,3.9,Engineering & Construction | Mumbai +776 other locations,"Job Security, Skill Development, Salary","Promotions, Work Life Balance"
Deloitte,3.6,Management Consulting | Hyderabad +186 other locations,,
Kotak Mahindra Bank,3.6,Banking | Mumbai +693 other locations,,
Reliance Industries,4.0,Oil & Gas | Jamnagar +822 other locations,"Job Security, Work Life Balance, Skill Development",Promotions
Vodafone Idea,3.9,Telecom | Pune +707 other locations,"Salary, Company Culture, Work Life Balance",Promotions
Bharti Airtel,3.8,Telecom | Gurugram +797 other locations,,
BYJU'S,3.2,EdTech | Bengaluru +321 other locations,,
WNS,3.3,IT Services & Consulting | Pune +67 other locations,,
IDFC FIRST Bank,4.0,Banking | Mumbai +742 other locations,,
Ernst & Young,3.4,Management Consulting | Bengaluru +135 other locations,,
IndusInd Bank,3.4,Banking | Mumbai +803 other locations,,
AU Small Finance Bank,3.8,Banking | Jaipur +806 other locations,,
Tata Motors,4.1,Automobile | Pune +507 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
Bajaj Finserv,3.9,NBFC | Pune +1217 other locations,,
Muthoot FinCorp,4.5,NBFC | Bengaluru +1125 other locations,,
Flipkart,3.9,Internet | Bengaluru +558 other locations,"Skill Development, Salary",Promotions
PwC,3.3,Management Consulting | Bengaluru +137 other locations,,
HDFC Life,3.8,Insurance | Mumbai +720 other locations,Skill Development,Promotions
Mahindra & Mahindra,4.0,Automobile | Pune +570 other locations,"Job Security, Skill Development, Company Culture",Promotions
Infosys BPM,3.5,BPO | Bengaluru +95 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
DXC Technology,3.6,IT Services & Consulting | Bengaluru +131 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction"
Bandhan Bank,3.7,Banking | Kolkata +1019 other locations,,
Digitide Solutions,3.5,IT Services & Consulting | Hyderabad +275 other locations,,
Yes Bank,3.7,Banking | Mumbai +544 other locations,,
Mphasis,3.3,IT Services & Consulting | Bengaluru +63 other locations,,
Tata Steel,4.0,Iron & Steel | Jamshedpur +228 other locations,"Work Life Balance, Job Security, Company Culture",Promotions
Quess,3.8,Recruitment | Bengaluru +765 other locations,,
Asian Paints,3.9,Chemicals | Mumbai +561 other locations,"Salary, Skill Development, Job Security",Promotions
UltraTech Cement,4.1,Building Material | Mumbai +544 other locations,"Job Security, Skill Development, Company Culture",Promotions
Startek,3.0,BPO | Bengaluru +104 other locations,,
Maruti Suzuki,4.1,Automobile | Gurugram +460 other locations,,
Paytm,3.2,FinTech | Noida +428 other locations,,
Bajaj Finance,3.9,NBFC | Pune +1007 other locations,,
Shriram Finance,3.9,NBFC | Chennai +1126 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
Sutherland Global Services,3.3,BPO | Chennai +82 other locations,,
Equitas Small Finance Bank,4.3,Banking | Chennai +486 other locations,,
Coforge,3.3,IT Services & Consulting | Hyderabad +113 other locations,,
Wells Fargo,3.6,Financial Services | Bengaluru +27 other locations,Work Life Balance,"Promotions, Skill Development, Work Satisfaction"
Cipla,4.1,Pharma | Mumbai +296 other locations,,
EXL Service,3.6,Analytics & KPO | Noida +62 other locations,Job Security,"Promotions, Salary, Skill Development"
Ericsson,3.9,Telecom | Noida +161 other locations,"Work Life Balance, Company Culture","Promotions, Salary"
Samsung,3.9,Consumer Electronics & Appliances | Noida +582 other locations,"Work Life Balance, Salary",Promotions
Dr. Reddy's,4.0,Pharma | Hyderabad +216 other locations,"Company Culture, Work Life Balance, Skill Development",Promotions
Optum Global Solutions,4.0,IT Services & Consulting | Hyderabad +69 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
JSW Steel,3.9,Iron & Steel | Ballari +201 other locations,"Job Security, Skill Development",Promotions
Delhivery,3.8,Logistics | Gurugram +768 other locations,,
JPMorgan Chase & Co.,3.8,Financial Services | Bengaluru +56 other locations,"Job Security, Salary",Promotions
ICICI Prudential Life Insurance,3.9,Insurance | Mumbai +513 other locations,,
Hexaware Technologies,3.4,IT Services & Consulting | Chennai +71 other locations,,
Sun Pharmaceutical Industries,4.1,Pharma | Vadodara +266 other locations,,
Ujjivan Small Finance Bank,4.0,Banking | Bengaluru +546 other locations,,
Jana Small Finance Bank,3.7,Banking | Bengaluru +428 other locations,Salary,Promotions
Zydus Lifesciences,4.0,Pharma | Ahmedabad +184 other locations,,
Ekart Logistics,3.9,Logistics | Bengaluru +741 other locations,Skill Development,Promotions
